,vender,url,product,description,image,price,live
0,KBDFans,https://kbdfans.com/collections/keycaps/products/ic-epbt-psychedelic-x-sweet-girl-keycaps?_pos=45&_fid=1126bd0db&_ss=c&variant=39426197618827,ePBT Acid House & Sweet Girl Keycaps,"Update:   Fulfillment of Group Buy orders, selling extra in stock(2022-08-02) Production completed, Shipping is being arranged  (2022-06-20) Part of the kits have arrived at the warehouse (2022-05-31) In production nearing completion (2022-03-10) Sample confirmed, queuing for production (2021-10-18）  Group date: August",http://cdn.shopify.com/s/files/1/1473/3902/products/bRHrR2j_1200x1200.jpg?v=1619690123,$9.00,True
1,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-relegendables?_pos=27&_fid=1126bd0db&_ss=c&variant=39579360428171,GMK Relegendables+,"Update Selling extra pre-order (2022-11-05) Group Buy Date: November 16th to December 16th, 2021 Estimated Shipping Date: To be Updated Vendors OCE - Switchkeys US - Space EU - CandyKeys CA - Ashkeebs KR - SWAG Keys CN - KBDFans SEA - iLumkb PH – Zion Studios UK - Prototypist INSPIRATION  A degenerate artisan goblin in",http://cdn.shopify.com/s/files/1/1473/3902/products/111_bac9a8ce-490e-4a90-9da6-6c1ec65fbf9a_1200x1200.jpg?v=1631943906,$31.00,True
2,KBDFans,https://kbdfans.com/collections/keycaps/products/kbdfans-simple-style-deskmats-collection,KBDfans Simple Style Deskmats Collection,"SPECS Measurement: 900 mm x 400 mm x 4 mm Production Method: Stitched Edges Texture: Smooth Cloth Top Weight: 750g Friendly Reminds: Only deskmat included, no keyboard",http://cdn.shopify.com/s/files/1/1473/3902/products/dark1-5_1200x1200.jpg?v=1652938077,$7.50,True
3,KBDFans,https://kbdfans.com/collections/keycaps/products/enjoypbt-abs-doubleshot-mechanical-keyboard-keycaps-set-7?_pos=65&_fid=1126bd0db&_ss=c,ENJOYPBT BLUE ABS DOUBLESHOT MECHANICAL KEYBOARD KEYCAPS SET,"SPECS Material: ABS material Profile: Cherry Profile Production Method: Doubleshot Total Keys: 153 keys Manufacturer: ePBT Friendly Reminds: Only Keycaps included, no keyboard Compatibility Cherry MX switches and MX-style clones DZ60 REV3.0, DZ60RGB, DZ60RGB ANSI,DZ60RGB WKL, DZ65RGB, KBD67 REV2.0, KBD67 MarK II, KBD75",http://cdn.shopify.com/s/files/1/1473/3902/products/7_3d774600-a8c9-48b4-a8ee-6cfd9bc20b33_1200x1200.jpg?v=1672722466,$33.90,True
4,KBDFans,https://kbdfans.com/collections/keycaps/products/pbtfans-novelty-kit-collection?_pos=2&_fid=1126bd0db&_ss=c,PBTfans Novelty Kit Collection,"SPECS PBT material Profile: Cherry profile Production Method: Doubleshot Manufacturer: PBTfans Friendly Reminds: Only keycaps included, no keyboard Compatibility: Cherry MX switches and MX-style clones",http://cdn.shopify.com/s/files/1/1473/3902/products/lQLPJx4a6BnVtfDNB9DNB9Cw_kHatHWrc8oDlsCvY0COAA_2000_2000_1200x1200.png?v=1671088323,$19.00,True
5,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-hanok?_pos=54&_fid=1126bd0db&_ss=c&variant=41030803816587,GMK HANOK,"Update Selling extra pre-order (2022-11-03) Samples approved (2022-02-28) GB Dates: Start from July 26th to August 23rd, 2021 Estimated Ship Date: To be announced SPECS Profile: Cherry Profile 1 - 1 - 2 - 3 - 4 - 4 Production Method: Doubleshot Modifier Style: Icon+Text Material: ABS Plastic Manufacturer: GMK Electroni",http://cdn.shopify.com/s/files/1/1473/3902/products/1_0a8c4e7d-3ca5-4dbe-b3fa-17a2d4ad41ac_1200x1200.png?v=1627260717,$295.00,True
6,KBDFans,https://kbdfans.com/collections/keycaps/products/epbt-soju?_pos=57&_fid=1126bd0db&_ss=c&variant=34482888179851,ePBT Soju,Update Selling extra in stock (2022-10-26) Vendors: Shipped out most orders Expected to be ready to ship in two weeks (2022-09-17) Production completion progress reaches 70% (2022-09-08) Part of kits arrived (2022-8-30) Keycap injection is 50% completed (2022-07-05) Starting the Reverse Dye-sub (2022-06-18) Production ,http://cdn.shopify.com/s/files/1/1473/3902/products/1_60903f8f-8aee-42e5-acaa-cef37c2f001c_1200x1200.jpg?v=1611906184,$59.00,True
7,KBDFans,https://kbdfans.com/collections/keycaps/products/kat-bow-pbt-keycaps-set?_pos=56&_fid=1126bd0db&_ss=c,KAT BOW PBT Keycaps set,"SPECS Production Method: Dye-sub   Material: PBT material Total Keys: 169 keys Profile: KAT profile Color: GMK WS1 Friendly Reminds: Only Keycaps included, no keyboard",http://cdn.shopify.com/s/files/1/1473/3902/products/20_c8d182c2-ae4f-44a5-9352-78ec02343a18_1200x1200.jpg?v=1612681342,$39.50,True
8,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-lavender?_pos=42&_fid=1126bd0db&_ss=c&variant=39366552191115,GMK Lavender,"Update Selling extra pre-order (2022-11-03) Invoice paid, in production queue, round 1 color matching samples received. Alphas white approved, feedback provided to GMK for lavender color and dark purple accent, awaiting round 2 samples. （2021-12-15） Queuing for production（2021-09-07） Estimated shipping date: To be upda",http://cdn.shopify.com/s/files/1/1473/3902/products/LAVENDER-KIT_1200x1200.jpg?v=1621994242,$154.00,True
9,KBDFans,https://kbdfans.com/collections/keycaps/products/dz60-cnc-aluminum-60-plate-a,DZ60 CNC Aluminum 60% Plate A,Plate-A（left shift is 2U）It's not compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese Spanish Dutch Klingon Swe,http://cdn.shopify.com/s/files/1/1473/3902/products/A_2_e5ff079f-0148-489d-a387-56b52a665299_1200x1200.jpg?v=1667437593,$9.90,True
10,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-diner?_pos=44&_fid=1126bd0db&_ss=c&variant=41033724002443,GMK Diner,"Ketchup or mustard?Inspired by the seemingly-mandatory diners present in most of the shows we watched growing up. Wouldn't it be cool to deck out your keyboard like it was actually part of your favorite 90s sitcom? It would, it would be totally cool. Proud to introduce to you, GMK Diner. Update Selling extra pre-order ",http://cdn.shopify.com/s/files/1/1473/3902/products/1_833e4d17-9940-4536-9b00-397da3d618ef_1200x1200.png?v=1620116871,$288.00,True
11,KBDFans,https://kbdfans.com/collections/keycaps/products/icepbt-x-openkey-less-but-better-keycaps-set?_pos=55&_fid=1126bd0db&_ss=c&variant=39276628967563,EPBT x Openkey Less but better Keycaps set,"  Update Selling extras in stock (2022-08-23) Fulfillment (2022-08-03) The rest kits will be sent to our warehouse by the end of June (2022-06-18) A small part of kits are in production (2022-04-18) Inspection phase ( 2022-03-15) Most of kits have reached the warehouse, waiting for the rest kits （2022-01-07） In Product",http://cdn.shopify.com/s/files/1/1473/3902/products/1_42efa696-3a8e-4933-837e-99c21b1341d9_1200x1200.jpg?v=1613570315,$11.00,True
12,KBDFans,https://kbdfans.com/collections/keycaps/products/kbdfans-gateron-silent-black-linear-switches,Gateron Silent black Linear Switches,Specs Linear 60 cN operating force 2.0 mm pre-travel 4.0 mm total travel PCB mount 5pin MX stem,http://cdn.shopify.com/s/files/1/1473/3902/products/1_c2179475-2576-4631-93db-081fd4536521_1200x1200.jpg?v=1652152717,$1.90,True
13,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-terror?_pos=36&_fid=1126bd0db&_ss=c&variant=41034076913803,GMK TERROR,"Update Selling extra pre-order (2022-11-04) Group Buy Start: October 23, 2021 Group Buy End: November 23, 2021 Estimated Shipping Date: May 2023 SPECS Profile: Cherry Profile Production Method: Doubleshot Material: ABS Plastic Manufacturer: GMK Electronic Design GmbH in Germany Compatible with Cherry MX switches and MX",http://cdn.shopify.com/s/files/1/1473/3902/products/lQDPDhrLJMFu6MPNB9DNB9CwIFwZoD4uZT4BehK_bIBIAA_2000_2000_1200x1200.jpg?v=1634802690,$245.00,True
14,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-pharaoh?_pos=52&_fid=1126bd0db&_ss=c&variant=41034064625803,GMK Pharaoh,"Introduction      Man, know yourself... and you shall know the gods.""Click ""MORE"" if you want to read about the design inspiration, sublegends and colors choices.The inspiration from this set comes from the great pyramids of Giza and the ancient Egyptian Civilization. We decided to use two simple yet meaningful colors ",http://cdn.shopify.com/s/files/1/1473/3902/products/lADPDh0cQO032dHNB9DNB9A_2000_2000_1200x1200.jpg?v=1629360305,$198.00,True
15,KBDFans,https://kbdfans.com/collections/keycaps/products/cherry-profile-cement-grey-japanese-pbt-dye-sub-keycaps-set?_pos=34&_fid=1126bd0db&_ss=c,Cherry Profile CEMENT GREY Japanese PBT DYE-SUB KEYCAPS SET,Fully Assembled keyboard with Cement Grey Japanese PBT Keycaps Collection Tofu60 DZ60RGB ANSI Tofu60 DZ60RGB Tofu65 DZ65RGB KBD75 V3.1 Blade65 SPECS Material: PBT material Profile: Cherry profile Production Method: Dye-sublimated Total Keys: 149 keys Thickness: 1.35 mm Weight: 615g Friendly Reminds: Only keycaps includ,http://cdn.shopify.com/s/files/1/1473/3902/products/10_65944c59-e564-4e7b-be2c-30c2afe2f185_1200x1200.jpg?v=1650348287,$32.90,True
16,KBDFans,https://kbdfans.com/products/d60-pc-version-mechanical-keyboard-kit,D60lite PC Version Mechanical Keyboard KIT,"New D60lite Leaf gasket+ Mirror finish, new D60lite coming soon. 7° typing Angle High quality injection molded plastic case Case is made of ABS material, the transparent black bottom case is made of Pc material, and the Plate is made of Polycarbonate material for flexible cutting The D60lite case uses a mirror-polished",http://cdn.shopify.com/s/files/1/1473/3902/products/untitled.929_1200x1200.png?v=1667544507,$99.00,True
17,KBDFans,https://kbdfans.com/collections/keycaps/products/ic-epbt-winter-breath?_pos=35&_fid=1126bd0db&_ss=c&variant=39533744914571,[Restock] ePBT Winter Breath,"  Update Fulfillment (2022-12-20) Start fulfilling orders (2022-11-29) Ready to ship (2022-10-14) Friendly remind: The actual product is a bit different from the renders in the different lighting environmentand renders always made in a perfect lighting environment, so the alpha colour (GMK GR1)is a little lighter than ",http://cdn.shopify.com/s/files/1/1473/3902/products/lQDPJxbGvXPBdlzNB9DNB9CwNR08nCJJuf8DRq6V5oCRAA_2000_2000_1200x1200.jpg?v=1665713596,$31.00,True
18,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-nimbus?_pos=40&_fid=1126bd0db&_ss=c&variant=41034285056139,GMK Nimbus,"Update Selling extra pre-order (2022-11-05) Group Buy dates: From Feb 22th to Mar 25th, 2022 Estimated Shipping Date: To be updated Inspiration Presenting GMK Nimbus, a keycap set based on the clouds in the sky. SPECS Profile: Cherry Profile Material: ABS material Production Method: Double-shot Manufacturer: GMK Electr",http://cdn.shopify.com/s/files/1/1473/3902/products/1---4tvLE0V_1200x1200.jpg?v=1641712030,$259.00,True
19,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-agent-01?_pos=63&_fid=1126bd0db&_ss=c&variant=41027781329035,[Restock] GMK Agent 01,Update Arranging the shipment and selling extra in stock (2022-12-01) Selling extra pre-order (2022-11-02) Color Sample Confirmed (2022-05-06) Plastic samples were sent to GMK for color matching. So we wait for the R2 color samples coming to us. (2022-03-17) We have received the samples from GMK and will be analysing t,http://cdn.shopify.com/s/files/1/1473/3902/products/Base-Kit_new_1200x1200.jpg?v=1614246127,$212.00,True
20,KBDFans,https://kbdfans.com/collections/keycaps/products/pbtfans-classic-hangul?_pos=16&_fid=1126bd0db&_ss=c,PBTFans Classic Hangul,Update Expected to complete production on October 10 (2022-09-27) Estimated delivery date: 25 days (2022-08-31) waiting for 2nd sample confirmation(2022-08-20) Available in other Official Store Aliexpress store: Click Shopee.Philippines: Click Shopee.Singapore: Click Shopee.Malaysia: Click Shopee.Thailand: Click Inspir,http://cdn.shopify.com/s/files/1/1473/3902/products/1_22be3620-4b78-444f-bbed-0042e6ecf8e9_1200x1200.jpg?v=1665113352,$95.00,True
21,KBDFans,https://kbdfans.com/collections/keycaps/products/wob-pbt-doubleshot-keycaps?_pos=22&_fid=1126bd0db&_ss=c,WOB PBT Doubleshot Keycaps,"SPECS Material: PBT material Profile: Cherry profile Production Method: Doubleshot  Total Keys: 163 keys Thichness:1.75 mm Weight: 500g Friendly Reminds: Only keycaps included, no keyboard Compatibility Cherry MX switches and MX-style clones 61/63/64/67/68/84/96 keys and HHKB layout TRANSLATE with x English Arabic Hebr",http://cdn.shopify.com/s/files/1/1473/3902/products/4fe40f089696834c4906303a743d01c5_d4c619ec-e8ad-4373-a564-40b2466d22d8_1200x1200.jpg?v=1636417181,$49.00,True
22,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-jis?_pos=23&_fid=1126bd0db&_ss=c&variant=39570246041739,GMK JIS,Design &amp; Inspiration The original idea for this set comes from having a fully functional Japanese kit. Current GMK sets are not functional on a modern Japanese keyboard. This set hopes to inspire the idea of having future GMK IC's the chance to offer a Japanese extension kit as an option. Hopefully this might inspi,http://cdn.shopify.com/s/files/1/1473/3902/products/2_978589a6-9999-4d9a-854a-be5680385d70_1200x1200.jpg?v=1635994617,$170.00,True
23,KBDFans,https://kbdfans.com/products/gift-card,Gift card,"Build your own mechanical keyboard, starting here!",http://cdn.shopify.com/s/files/1/1473/3902/products/giftcard_image1_1200x1200.png?v=1584436855,$10.00,True
24,KBDFans,https://kbdfans.com/collections/keycaps/products/in-stockmaxkey-foundation-sa-keycaps-set?_pos=69&_fid=1126bd0db&_ss=c,MAXKEY Foundation SA Keycaps Set,"SPECS Material: ABS material Profile: SA Profile Production Method: Doubleshot Total Keys: 127 keys (Base Kit) Manufacturer:  MAXKEY Friendly Reminds: Only Keycaps included, no keyboard Compatibility Compatible with Cherry MX switches and MX-style clones Compatible with DZ60RGB, DZ60RGB ANSI, DZ60RGB WKL, DZ65RGB, KBD6",http://cdn.shopify.com/s/files/1/1473/3902/products/1_28e93a06-6929-451e-8fc1-7a6c10da45c1_1200x1200.jpg?v=1671001306,$1.90,True
25,KBDFans,https://kbdfans.com/collections/keycaps/products/cherry-profile-pbt-simple-white-dye-subbed-keycaps-set?_pos=29&_fid=1126bd0db&_ss=c,Cherry Profile PBT Simple BOW Dye-Subbed Keycaps Set,"SPECS Material: PBT material Profile: Cherry profile Production Method: Dye-sublimated Total Keys: 147 keys Weight: 595g Thickness: 1.35 mm Friendly Reminds: Only keycaps included, no keyboard Compatibility Cherry MX switches and MX-style clones 61/63/64/67/68/84/96keys/HHKB layouts, etc.",http://cdn.shopify.com/s/files/1/1473/3902/products/1_ece1395b-ec39-4f80-bdb6-29ae12455a7f_1200x1200.jpg?v=1631342112,$39.90,True
26,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-mercury?_pos=46&_fid=1126bd0db&_ss=c&variant=41034276995211,GMK Mercury,"Group Buy date: From December 22nd, 2021 to Feb 21st, 2022, Estimated Ship Date: Q1-Q2 2023 SPECS Profile: Cherry Profile Material: ABS material Production Method: Double-shot Manufacturer: GMK Electronic Design GmbH in Germany Compatibility: Compatible with Cherry and Cherry MX clones Designer: KEKAIYØ DeskMat Specifi",http://cdn.shopify.com/s/files/1/1473/3902/products/1_6b11fd88-871c-44b3-bd1c-cb6519772527_1200x1200.png?v=1641091887,$220.00,True
27,KBDFans,https://kbdfans.com/collections/keycaps/products/ic-epbt-be-the-one?_pos=66&_fid=1126bd0db&_ss=c&variant=34166220030091,[Restock] ePBT Be The One,"Update Selling extra in stock (2022-10-26) Expected to be ready to ship in two weeks (2022-09-17) Production completion progress reaches 95% (2022-09-08) Part of kits arrived (2022-8-30) Production completed, Shipping is being arranged (2022-08-03) Estimated to complete the production at the end this month (2022-07-12)",http://cdn.shopify.com/s/files/1/1473/3902/products/9_9652bc1f-3d58-4841-9d70-adc558e1bdc9_1200x1200.jpg?v=1611663510,$18.00,True
28,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-seafarer?_pos=61&_fid=1126bd0db&_ss=c&variant=41030170574987,GMK Seafarer,"Update Arranging the shipment (2023-1-30) Selling extra pre-order (2022-11-03) Queuing for production（2021-09-07） Group Buy Date: April 16-May 16th, 2021 Estimated Ship Date: To be updated GMK Seafarer ""Master of the seven seas"" Inspiration The original colorway was inspired by the uniforms of our Navy sailors on the h",http://cdn.shopify.com/s/files/1/1473/3902/products/jf0pgcc_1200x1200.png?v=1616554715,$249.00,True
29,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-gladiator?_pos=20&_fid=1126bd0db&_ss=c&variant=41034220601483,GMK Gladiator,"Update Selling extra pre-order (2022-11-05) Hibi arrived at the warehouse (2022-10-31) Introduction: This set has been inspired by the legends of the ancient Gladiators fighting for their honor and freedom! The major attraction of this set would be the color references to antique heavily patinaed armor, sand and blood.",http://cdn.shopify.com/s/files/1/1473/3902/products/4_34291da5-ef38-4f4e-8bfd-ff96546a0d0d_1200x1200.jpg?v=1646195883,$273.00,True
30,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-shashin?_pos=49&_fid=1126bd0db&_ss=c&variant=41030438584459,GMK Shashin,Update Will arrive at our warehouse at the end of the February （2023-02-23） Selling extra pre-order (2022-11-03) Queuing for production (2021-09-07) SPECS Profile: Cherry Profile Material: ABS material Production Method: Double-shot Designer: S3LQ Vendors US: https://vala.supply/ EU: https://mykeyboard.eu/ Asia: https:,http://cdn.shopify.com/s/files/1/1473/3902/products/WechatIMG204_1200x1200.jpg?v=1617182849,$236.00,True
31,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-arch?_pos=62&_fid=1126bd0db&_ss=c&variant=41030288408715,GMK Arch,"Update In stock now, ready to ship(2022-11-18) Selling extra pre-order (2022-11-03) Queuing for production（2021-09-07）  Group Buy Date: April 30th - May 30th, 2021 Estimated Ship Date: To be updated   # ls gmk-arch/vendors                                                                                                  ",http://cdn.shopify.com/s/files/1/1473/3902/products/6_e64a1782-444e-4e4d-83be-5b8453afeb7d_1200x1200.png?v=1619075230,$203.00,True
32,KBDFans,https://kbdfans.com/products/pbtfans-retro-dark-lights,PBTfans Retro Dark Lights,"Update Pre-order kits will be shipped in March(2023-2-24) production completed, will be released soon(2023-2-10) Production will be completed in mid-February (2023-02-02) Working on the mold customization (2022-10-14) Will do the sample after the final design file is confirmed (2022-09-27) Specs Material: PBT material ",http://cdn.shopify.com/s/files/1/1473/3902/products/1-Base_Nov_1200x1200.jpg?v=1677032102,$99.00,True
33,KBDFans,https://kbdfans.com/collections/keycaps/products/pbtfans-retro-dark-lights?_pos=15&_fid=1126bd0db&_ss=c&variant=41247279054987,PBTfans Retro Dark Lights,"Update Pre-order kits will be shipped in March(2023-2-24) production completed, will be released soon(2023-2-10) Production will be completed in mid-February (2023-02-02) Working on the mold customization (2022-10-14) Will do the sample after the final design file is confirmed (2022-09-27) Specs Material: PBT material ",http://cdn.shopify.com/s/files/1/1473/3902/products/1-Base_Nov_1200x1200.jpg?v=1677032102,$99.00,True
34,KBDFans,https://kbdfans.com/collections/keycaps/products/epbt-wuyinzhuyin?_pos=48&_fid=1126bd0db&_ss=c&variant=40908436471947,"[Restock] ePBT ""無印·WUYINZHUYIN""","SPECS Material: PBT material Profile: Cherry Profile Production Method: Dye-sub and Reverse Dye-sub(black keys) and Direct injection(spacebar) Manufacture: ePBT Compatibility Compatible with Cherry MX switch and clone         Hello, I’m York. The inspiration comes from the phonetic radical keyboard and is combined with",http://cdn.shopify.com/s/files/1/1473/3902/products/dcr2_4_26f1335b-5d12-43d9-b4a1-75f21c1dc24d_1200x1200.png?v=1625040353,$126.00,True
35,KBDFans,https://kbdfans.com/collections/keycaps/products/coming-soon-epbt-x-biip-wraith-dark-keycaps-set?_pos=64&_fid=1126bd0db&_ss=c&variant=34390959292555,[Restock] EPBT x BIIP Wraith Dark Keycaps Set,"Update Fulfillment of the GB orders and Selling extra in stock (2022-06-29) Arranging the shipment (2022-06-08) In production（2021-12-10） The mold is still being adjusted（2021-09-07） Group Buy: February 15 to March 15, 2021  SPECS Manufacturer: ePBT Designer: Biip Material: PBT  Production Method: Reverse Dye-sub Vendo",http://cdn.shopify.com/s/files/1/1473/3902/products/2000ba_1200x1200.jpg?v=1657679363,$99.00,True
36,KBDFans,https://kbdfans.com/collections/keycaps/products/dz60-cnc-brass-60-plate,DZ60 CNC Brass 60% Plate A,Plate-A（left shift is 2U）It's not compatible with DZ60RGB v2/ DZ60RGB-ANSI PCB  TRANSLATE with x English Arabic Hebrew Polish Bulgarian Hindi Portuguese Catalan Hmong Daw Romanian Chinese Simplified Hungarian Russian Chinese Traditional Indonesian Slovak Czech Italian Slovenian Danish Japanese Spanish Dutch Klingon Swe,http://cdn.shopify.com/s/files/1/1473/3902/products/9_ec621e2e-de01-4d6c-b133-f49d59006008_1200x1200.jpg?v=1667437957,$9.90,True
37,KBDFans,https://kbdfans.com/collections/keycaps/products/r2-epbt-x-enjoymyinsec-spectrum-pbt-keycaps-set?_pos=12&_fid=1126bd0db&_ss=c&variant=40989114138763,R2 EPBT x EnjoyMyInSec Spectrum PBT keycaps set,"Hi everyone, I sincerely hope that everyone is doing great and that you’re all safe at home!  It’s already been one year since my first group buy started today so, I think it’s a good opportunity to make another one.Let me introduce you to my new set being EnjoyPBT Spectrum :  https://enjoymy.gallery/spectrum.html   As",http://cdn.shopify.com/s/files/1/1473/3902/products/767f6780-7014-47bd-9f2f-9ffd3c7be836_9a2de96e-f740-4c94-a16c-d1b19f1b61da_1200x1200.png?v=1666573882,$89.00,True
38,KBDFans,https://kbdfans.com/collections/keycaps/products/pbtfans-dolch?_pos=13&_fid=1126bd0db&_ss=c&variant=40961183416459,PBTfans Dolch,Update Start the selling. (2022-10-19) Expected to complete production on October 15 (2022-09-27) Available in other Official Store Aliexpress store: Click Shopee.Philippines: Click Shopee.Singapore: Click Shopee.Malaysia: Click Shopee.Thailand: Click SPECS Material: PBT material Profile: Cherry profile Production Meth,http://cdn.shopify.com/s/files/1/1473/3902/products/base-1_1200x1200.jpg?v=1666078080,$80.00,True
39,KBDFans,https://kbdfans.com/collections/keycaps/products/pbtfans-doubleshot-tripleshot-deep-sea-predator?_pos=21&_fid=1126bd0db&_ss=c&variant=40309781463179,PBTfans Deep Sea Predator,"Inspiration Inspired by a picture I saw by chance, light pouring from above in the deep sea, and a shark greeted the light. This is the first keycap I designed, hope you like it. Update Selling extra in stock (2022-09-19) Almost finish the production of all kits, waiting for the novelties (2022-07-12) Group Buy Date: M",http://cdn.shopify.com/s/files/1/1473/3902/products/09st_1200x1200.jpg?v=1639471678,$35.00,True
40,KBDFans,https://kbdfans.com/collections/keycaps/products/extra-gb-artisan-keycap-collection?_pos=10&_fid=1126bd0db&_ss=c,[EXTRA] GB Artisan Keycap Collection,"Build your own mechanical keyboard, starting here!",http://cdn.shopify.com/s/files/1/1473/3902/products/201057d49f7d7ca133482a7a77b47f8a_94020e2a-4ba6-42e5-bb41-52a611dadabc_1200x1200.jpg?v=1668669634,$50.00,True
41,KBDFans,https://kbdfans.com/products/kbdfans-solar-keyboard-kit,KBDfans SOLAR keyboard kit,"Project Progress Sample is in production (2022-3-29) SPECS Layout: Ortholinear Layout, 50 keys PCB: Hotswapable, 1.2 mm thickness, QMK firmware, USB-C interface, without RGB Case: Aluminum Top and Bottom, PVD Stainless steel weight Structure: Gasket Mount Typing angle: 5° Replaceable modules: O-LED module, RGB module W",http://cdn.shopify.com/s/files/1/1473/3902/products/WechatIMG12370_1200x1200.jpg?v=1646206642,$0.00,True
42,KBDFans,https://kbdfans.com/collections/keycaps/products/gmk-firefly?_pos=28&_fid=1126bd0db&_ss=c&variant=39466794549387,R2 GMK Firefly,"Update Selling extra pre-order (2022-11-04) Group Buy Date: September 16th to October 22nd Estimated shipping date: To be updated GMK Firefly is a sharp new set from the designer behind the incredibly popular GMK Nines. Firefly premiers a full set of custom RAL colors, that creates a visual distinction from all other G",http://cdn.shopify.com/s/files/1/1473/3902/products/Basekit_1200x1200.jpg?v=1631585637,$150.00,True
