,vender,url,product,description,image,price,availability,kit
0,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-flower,[Pre-Order] EPBT Flower,"This keycap set was inspired by a holiday taken during spring in the countryside by designer, SUDA. Feeling like we've been tied down for way too long due to the pandemic.. Spending Spring in the countryside made him forget about everything that's going on. Blooming flowers and surrounded by nature, free from the worri",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTFlower_1200x1200.jpg?v=1650289873,$89.00,Sold out,Base  - Sold out
1,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/group-buy-gmk-cluck,[Group-Buy] GMK Cluck,"Introducing GMK Cluck, inspired by chickens, only chickens, and designed by a Chicken... Man.   Specifications: Profile: Cherry Legends: Doubleshot ABS Manufacturer - GMK Designer - ChickenMan   Kits: Base Cluck Kit Novelties Spacebars   Deskmats: 900mm x 400mm x 4mm Premium printing process Cloth top Rubber bottom Sti",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/GMKCluckCover_1200x1200.jpg?v=1648160036,$135.00,Sold out,Base  - Sold out
2,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/group-buy-epbt-hellas,[Group-Buy] EPBT Hellas,"A keycap set inspired by the beautiful ancient architecture, history, and overall ambience of Athens, Greece.  Specifications: Profile: Cherry Legends: Dye-sub PBT Manufacturer - EPBT Designer - Biscuit   Kits: Base Novelties Numpad Spacebars 40s International  Latin   Deskmats: 900mm x 400mm x 4mm Premium printing pro",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTHellasCover_1200x1200.jpg?v=1636321836,$99.00,Sold out,Base  - Sold out
3,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/group-buy-gmk-daifuku,[Group-Buy] GMK Daifuku,"Disclaimer: The final base kit will include a 1.75u backspace + r1 f13 + r1 1u backspace. Presenting GMK Daifuku: a sweet, soft palette to match the sweet, soft mochi and red bean-covered strawberry dessert they take inspiration from! Daifuku (大福餅) is a popular traditional Japanese sweet; it is soft mochi stuffed with ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/GMKDaifuku_1200x1200.jpg?v=1627606657,$125.00,Sold out,Hiragana Base Kit  - Sold out
4,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/group-buy-gmk-hanok,[Group-Buy] GMK Hanok,"30% of the profits will be donated to Hate Is A Virus, a nonprofit community of mobilizers and amplifiers to dismantle racism and hate. More information about the movement can be found here: https://hateisavirus.org/   Inspired by the subtle character of Hanok, a type of house originally designed in the 14th century du",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/Hanokcoverphoto_1200x1200.png?v=1626914677,$135.00,Sold out,Base  - Sold out
5,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/thok-diamond-artisan,THOK Diamond Artisan,DSA profile White resin infill Colour-shift powder-coated Machined from solid aluminum,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/THOKDiamondArtisan_1200x1200.jpg?v=1642457992,$45.00,Add to cart,Default Title
6,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/pbtfans-white-on-black-wob,PBTFans White on Black (WoB),"PBTFans White on Black is a classic set that's perfect for those who like to keep it simple. These keycaps are made using double-shot PBT which means the legends are created using a ""shot"" of plastic to ensure they never fade. Additionally, like all PBTFans sets, the keycaps include a hard ABS keycap tray for storage! ",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/PBTFansWoBCover_1200x1200.jpg?v=1672564433,$75.00,Add to cart,Base
7,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/pbtfans-dolch,PBTFans Dolch,PBTFans Dolch reimagines a timeless keycap colorway. This double-shot retro grey set featuring bright green and red accents is a must-have in any collection.  Specifications:  Material: PBT Profile: Cherry Production Method: Doubleshot Manufacturer: PBTfans Packaging: Hard ABS Keycaps Tray Compatibility: Compatible wit,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/PBTFansDolchCover_1200x1200.jpg?v=1669100096,$80.00,Add to cart,Base
8,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/pbtfans-kabuki-cho,PBTFans Kabuki-Cho,"PBTFans Kabuki-Cho is inspired by the entertainment district in Shinjuku, Japan. It is the irreplaceable landmark of how a nightlight city like Tokyo could be. Sometimes the hustle and bustle you ever want to fit in.  Specifications:  Material: PBT Profile: Cherry Production Method: Doubleshot/Tripleshot for JP Sub-Leg",http://cdn.shopify.com/s/files/1/0064/2560/8282/products/Kabuki-ChoCover_1200x1200.jpg?v=1667373687,$29.00,Add to cart,40s
9,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-cloudy-day,EPBT Cloudy Day,Specifications: ABS plastic Double-shot legends Cherry profile 153 keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTCloudyDay_1200x1200.jpg?v=1651441509,$69.00,Sold out,Base Kit  - Sold out
10,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-dolch,EPBT Dolch,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/Dolchfinal-2_1200x1200.jpg?v=1620093684,$69.00,Sold out,Base Kit  - Sold out
11,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-white-on-black,EPBT White On Black,Specifications: ABS plastic Double-shot legends Cherry profile 153 keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTWOB_1200x1200.jpg?v=1627349568,$69.00,Add to cart,Base Kit
12,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-gray-japanese,EPBT Gray - Japanese,Specifications: PBT plastic Dye-sub legends 148 keys Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTGray-Japanese_1200x1200.jpg?v=1653268774,$99.00,Sold out,Base Kit  - Sold out
13,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-teal,EPBT Teal,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTTeal_1200x1200.jpg?v=1631463056,$69.00,Sold out,Base Kit  - Sold out
14,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-x-gok-black-on-white,EPBT x GOK Black on White,EPBT x GOK Black on White features a timeless combination of black and white to complement any build. Specifications: PBT plastic Dye-sub legends 146 keys Cherry profile Designed by GOK,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTxGOKWhiteonBlack_1200x1200.jpg?v=1633282562,$99.00,Sold out,Base Kit  - Sold out
15,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-ube-n-cream,EPBT Ube n' Cream,Specifications: ABS plastic Double-shot legends Cherry profile 153 keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/UbeandCreamCover_1200x1200.jpg?v=1639319885,$69.00,Sold out,Base Kit  - Sold out
16,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-cookies-n-cream,EPBT Cookies n' Cream,Specifications: ABS plastic Double-shot legends Cherry profile 153 keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTCookiesn_Cream_1200x1200.jpg?v=1627347350,$69.00,Sold out,Base Kit  - Sold out
17,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-9009,EPBT 9009,EPBT 9009 is a keyset inspired by the Cherry board designed for Reuters. This keyset features the timeless pairing of beige with muted pastel accents. Specifications: PBT plastic Dye-sub legends 178 keys Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBT9009_1200x1200.jpg?v=1615339145,$125.00,Sold out,Base Kit  - Sold out
18,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-charcoal,EPBT Charcoal,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTCharcoal_Final_1200x1200.jpg?v=1615432504,$69.00,Add to cart,Base Kit
19,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-sushi,EPBT Sushi,Specifications: PBT plastic Dye-sub legends 117 keys Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTSushiFinal_1200x1200.jpg?v=1615340099,$99.00,Sold out,Base Kit  - Sold out
20,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-miami-nights,EPBT Miami Nights,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTMiami_Final_1200x1200.jpg?v=1620311291,$69.00,Sold out,Base Kit  - Sold out
21,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-venice,EPBT Venice,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTVenice_final_1200x1200.jpg?v=1615432596,$69.00,Sold out,Base Kit  - Sold out
22,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-yolch,EPBT Yolch,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTYolch_Final_1200x1200.jpg?v=1615432394,$69.00,Sold out,Base Kit  - Sold out
23,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-orange-creamsicle,EPBT Orange Creamsicle,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTCreamsicle_Final_1200x1200.jpg?v=1615432316,$69.00,Sold out,Base Kit  - Sold out
24,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-shark-bait,EPBT Shark Bait,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTSharkBait_Final_1200x1200.jpg?v=1615432242,$69.00,Add to cart,Base Kit
25,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-blumen,EPBT Blumen,Specifications: ABS plastic Double-shot legends Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTBlumen_Final_1200x1200.jpg?v=1615432014,$69.00,Add to cart,Base Kit
26,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-gray-on-white-japanese,EPBT Gray on White - Japanese,Specifications: PBT plastic Dye-sub legends 117 keys Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTGreyonwhite-JapaneseFINAL_1200x1200.jpg?v=1615345612,$99.00,Sold out,Base Kit  - Sold out
27,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-gray-on-white-english,EPBT Gray on White - English,Specifications: PBT plastic Dye-sub legends 117 keys Cherry profile,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTGreyonwhite-EnglishFINAL_b4087a6f-f29d-41a8-b250-4b75ec007808_1200x1200.jpg?v=1615341417,$79.00,Sold out,Base Kit  - Sold out
28,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-pink-on-black,EPBT Pink on Black,Specifications: ABS plastic Double-shot legends Cherry profile 153 Keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/ePBTPinkonblack_1200x1200.jpg?v=1632632095,$69.00,Add to cart,Base Kit
29,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-x-gok-black-on-white-r2,EPBT x GOK Black on White R2,EPBT x GOK Black on White R2 features a timeless combination of black and white to complement any build. Specifications: PBT plastic Dye-sub legends 146 keys Cherry profile Designed by GOK,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/GOKxEPBTBoWR22_1200x1200.jpg?v=1643603911,$105.00,Sold out,Base Kit  - Sold out
30,Dangkeebs,https://dangkeebs.com/collections/keycaps/products/epbt-orange-dolch,EPBT Orange Dolch,EPBT Orange Dolch features an earthy chocolate brown base with contrasting orange legends. Specifications: ABS plastic Double-shot legends Cherry profile 165 Keys,http://cdn.shopify.com/s/files/1/0064/2560/8282/products/EPBTOrangeDolch_1200x1200.jpg?v=1664096377,$69.00,Add to cart,Default Title
