,vender,url,product,description,image,price,in_stock
0,TheKey.Company,https://thekey.company/collections/in-stock/products/ifk-white-on-black,White-on-Black Keyset,"White on Black with Icon Modifiers. Classic and reserved, perfect for the connoisseur who understands elegance in simplicity. About the Keycaps MX Compatible â€“ works with Cherry MX switches and MX-style switches. PBT plastic / Reverse dye sublimation â€“ Will not fade or shine over time. Cherry Profile. Manufactured by I",http://cdn.shopify.com/s/files/1/1679/2319/products/WoB-27_1200x1200.jpg?v=1664952155,$89.99,True
1,TheKey.Company,https://thekey.company/collections/in-stock/products/epbt-doubleshot-abs-cherry-keycaps,ePBT Doubleshot ABS Cherry Keycaps - Sky Dolch,"Manufactured by Enjoy PBT (ePBT) these keycaps are doubleshot, high quality ABS plastic. Check out these other colorways:Â  Â  White on Black (WoB) DolchÂ  Orange on GreyÂ  See high-res kit diagrams â†’ New to Keycaps? Read ourÂ Keycaps 101Â article from Keyboard University to learn about keycap profiles, plastics, and product",http://cdn.shopify.com/s/files/1/1679/2319/products/EBPT-35_625ef767-535e-4f9a-8d92-dfa0c9a83ca1_1200x1200.jpg?v=1668450217,$49.99,True
2,TheKey.Company,https://thekey.company/collections/in-stock/products/epbt-doubleshot-abs-cherry-keycaps-orange-on-grey,ePBT Doubleshot ABS Cherry Keycaps - Orange on Grey,"Manufactured by Enjoy PBT (ePBT) these keycaps are doubleshot, high quality ABS plastic. Check out these other colorways:Â  Â  Â  White on Black (WoB) Dolch Sky DolchÂ  Orange on GreyÂ  See high-res kit diagrams â†’ New to Keycaps? Read ourÂ Keycaps 101Â article from Keyboard University to learn about keycap profiles, plastics,",http://cdn.shopify.com/s/files/1/1679/2319/products/OrangeandMats-2_1200x1200.jpg?v=1672250031,$49.99,True
3,TheKey.Company,https://thekey.company/collections/in-stock/products/mint-accent-kit,Mint Accent Kit,"Originally a part of the IFK Strawberry Lemonade set, this mint accent kit can be used to bring a bright pastel pop to any cherry profile set. Designed by Dazon. ðŸŒŸ Last of our stock so quantities are limited and all sales are final. About the keycaps MX Compatible â€“ works with Cherry MX switches and MX-style switches. ",http://cdn.shopify.com/s/files/1/1679/2319/products/infinikey-strawberry-lemonade_kit_mint-accents_768df3fa-b2ff-48eb-adc0-970f99ddb53b_1200x1200.jpg?v=1658959636,$4.99,True
4,TheKey.Company,https://thekey.company/collections/in-stock/products/infinikey-marshmallow-keycaps,Marshmallow Keyset,"Marshmallow is a soft and cute set, with legends set in a friendly typeface and delicate novelty icons. It features warm cream and brown tones, pulling inspiration from makeup palettes. Designed by PRJKT_. Images are photos of production models, flat lays are renders. About the Keyset MX Compatible â€“ works with Cherry ",http://cdn.shopify.com/s/files/1/1679/2319/products/Marshmallow_Production-1_1200x1200.jpg?v=1656694795,$109.99,True
5,TheKey.Company,https://thekey.company/collections/in-stock/products/blurple-keyset-75-kitting,Blurple Keyset - 75% Kitting,These keysets were made to complement our Portico75 keyboardÂ as well as many other 75% keyboards. Check out these otherÂ Colorways: Blue Purple 9009 Blurple Polish Flatlay for Blurple 75%: Product images: Images of keycaps on the keyboards are photographs. FlatlaysÂ are illustrations. Keyboards are not included. Specs In,http://cdn.shopify.com/s/files/1/1679/2319/products/P75FixKits-12_1200x1200.jpg?v=1676311180,$34.99,True
6,TheKey.Company,https://thekey.company/collections/in-stock/products/polish-keyset-75-kitting,Polish Keyset - 75% Kitting,These keysets were made to complement our Portico75 keyboardÂ as well as many other 75% keyboards. Check out these otherÂ Colorways: Blue Purple 9009 Blurple Polish Flatlay forÂ Polish 75%: Product images: Images of keycaps on the keyboards are photographs. FlatlaysÂ are illustrations. Keyboards are not included. Specs Inc,http://cdn.shopify.com/s/files/1/1679/2319/products/P75FixKits-26_1200x1200.jpg?v=1676391477,$34.99,True
7,TheKey.Company,https://thekey.company/collections/in-stock/products/epbt-doubleshot-abs-cherry-keycaps-wob,ePBT Doubleshot ABS Cherry Keycaps - WoB,"Manufactured by Enjoy PBT (ePBT) these keycaps are doubleshot, high quality ABS plastic. Check out these other colorways:Â  Â  Dolch Sky DolchÂ  Orange on GreyÂ  See high-res kit diagrams â†’ New to Keycaps? Read our Keycaps 101 article from Keyboard University to learn about keycap profiles, plastics, and production methods",http://cdn.shopify.com/s/files/1/1679/2319/products/EBPT-23_5681a52d-facc-4ee2-bced-578dd11052d7_1200x1200.jpg?v=1668448287,$49.99,True
8,TheKey.Company,https://thekey.company/collections/in-stock/products/epbt-doubleshot-abs-cherry-keycaps-dolch,ePBT Doubleshot ABS Cherry Keycaps - Dolch,"Manufactured by Enjoy PBT (ePBT) these keycaps are doubleshot, high quality ABS plastic. Check out these other colorways:Â  Â Â  White on Black (WoB) Sky DolchÂ  Orange on GreyÂ  See high-res kit diagrams â†’ New to Keycaps? Read ourÂ Keycaps 101Â article from Keyboard University to learn about keycap profiles, plastics, and pr",http://cdn.shopify.com/s/files/1/1679/2319/products/epbt_abs-doubleshot-keycaps_dolch_7617c527-d89a-4ae0-a5fd-2019f7562b1d_1200x1200.jpg?v=1668449365,$49.99,True
9,TheKey.Company,https://thekey.company/collections/in-stock/products/ifk-writers-block,Writer's Block,"Rediscover your muse with this calming off-white keyset adorned with subtle gray legends. The third installment in our minimalist line, Writer's Block aims to soothe your worries away and help overcome the dreaded writer's block.Â  About the Keycaps MX Compatible â€“ works with Cherry MX switches and MX-style switches. PB",http://cdn.shopify.com/s/files/1/1679/2319/products/DSC00280-2_1200x1200.jpg?v=1644282180,$64.99,True
10,TheKey.Company,https://thekey.company/products/gift-card,Gift Card,Sent via email as soon as your purchase is completed. Never expires!,http://cdn.shopify.com/s/files/1/1679/2319/products/RevisedOption2_1200x1200.png?v=1670266777,$10.00,True
11,TheKey.Company,https://thekey.company/collections/in-stock/products/infinikey-monochrome-keycaps,Monochrome Keyset,"Infinikey Monochrome features a classic black and white colorway, katakana sublegends, and pink accent keys. Designed by TheKey.Company. International Vendors USÂ - TheKey.Company (you're here!)Â  CanadaÂ -Â Ashkeebs EuropeÂ -Â Proto[Typist] OceaniaÂ -Â SwitchKeys AsiaÂ -Â zFrontier Asia -Â Zion Studios PH About the Keyset MX Com",http://cdn.shopify.com/s/files/1/1679/2319/products/DSC00542-3_1200x1200.jpg?v=1646771467,$39.99,True
12,TheKey.Company,https://thekey.company/collections/in-stock/products/blue-on-white-keyset,Blue on White Keysets - 75% Kitting,These keysets were made to complement our Portico75 keyboardÂ as well as many other 75% keyboards. Check out these otherÂ Colorways: Blue Purple 9009 Blurple Polish Flatlay for Blue on White 75%: Product images: Images of keycaps on the keyboards are photographs. FlatlaysÂ are illustrations. Keyboards are not included. Sp,http://cdn.shopify.com/s/files/1/1679/2319/products/P75FixKits-30_1200x1200.jpg?v=1676312239,$34.99,True
13,TheKey.Company,https://thekey.company/collections/in-stock/products/infinikey-polish,Polish,"Polish is a simple but timeless tuxedo colorway that will have your keyboard feeling right at home whether you're at a Broadway show or hanging out with your favorite British spy. Crisp white keys with deep black legends for the alpha keys, inverted for modifiers. About the Keycaps MX Compatible â€“ works with Cherry MX ",http://cdn.shopify.com/s/files/1/1679/2319/products/Polish-4_c811cb59-fcc0-42e6-b6fe-da6115bbc7fc_1200x1200.jpg?v=1642187458,$84.99,True
14,TheKey.Company,https://thekey.company/collections/in-stock/products/ifk-black-purple,Black & Purple Keyset,"Smooth purple and deep black. Get lost in the thock. About the Keycaps MX Compatible â€“ works with Cherry MX switches and MX-style switches. PBT plastic / Reverse dye sublimation â€“ Will not fade or shine over time. Cherry Profile. Manufactured by Infinikey. Includes support for: TKL, HHKB, FC660, 60%, 65%, 75%, and many",http://cdn.shopify.com/s/files/1/1679/2319/products/BlackPurple-1_1200x1200.jpg?v=1663207740,$89.99,True
15,TheKey.Company,https://thekey.company/collections/in-stock/products/9009-keyset-75-kitting,9009 Keyset - 75% Kitting,These keysets were made to complement our Portico75 keyboardÂ as well as many other 75% keyboards. Check out these otherÂ Colorways: Blue Purple 9009 Blurple Polish Flatlay for 9009 75%: Product images: Images of keycaps on the keyboards are photographs. FlatlaysÂ are illustrations. Keyboards are not included. Specs Inclu,http://cdn.shopify.com/s/files/1/1679/2319/products/P75FixKits-20_1200x1200.jpg?v=1676311831,$34.99,True
16,TheKey.Company,https://thekey.company/collections/in-stock/products/ifk-bred,BRED Keyset,"A fan favorite. Our black and demonic red is back in a new, more compatible and yet affordable layout. No loot boxes or DLC required.Â  About the Keycaps MX Compatible â€“ works with Cherry MX switches and MX-style switches. PBT plastic / Reverse dye sublimation â€“ Will not fade or shine over time. Cherry Profile. Manufact",http://cdn.shopify.com/s/files/1/1679/2319/products/BRED-5_1200x1200.jpg?v=1663208317,$89.99,True
17,TheKey.Company,https://thekey.company/collections/in-stock/products/purple-on-white-keyset-75-kitting,Purple on White Keyset - 75% Kitting,These keysets were made to complement our Portico75 keyboardÂ as well as many other 75% keyboards. Check out these otherÂ Colorways: Blue Purple 9009 Blurple Polish Flatlay forÂ Purple on White 75%: Product images: Images of keycaps on the keyboards are photographs. FlatlaysÂ are illustrations. Keyboards are not included. ,http://cdn.shopify.com/s/files/1/1679/2319/products/P75FixKits-10_1200x1200.jpg?v=1676312866,$34.99,True
18,TheKey.Company,https://thekey.company/collections/in-stock/products/keyreative-abs-blank-cherry-keycaps,Keyreative Blank Keyset,"All the colors of the rainbow in vibrant ABS plastic. Choose your favorite colors and get keyreative with it! Designed by Keyreative.Â  Â  Product Details Cherry profile. 128 keys. ABS plastic. Shipped in protective bubble bags. See high-res diagram image â†’ Photos Photographs by alexotos, featuring the colors: Ultramarin",http://cdn.shopify.com/s/files/1/1679/2319/products/red_1200x1200.png?v=1675790055,$14.99,True
19,TheKey.Company,https://thekey.company/collections/in-stock/products/ifk-cabernet-noir,Cabernet Noir Keyset,"Infinikey Cabernet Noir is the original vintage of IFK Cabernet. It features the lightest tones of purple and aged reds. Please note that this vintage does not ship in a Cabernet collectors box, and is priced to reflect this inconvenience.Â  Designed by TokyoExpress. Geekhack Interest Check thread â†’ ï»¿All images are phot",http://cdn.shopify.com/s/files/1/1679/2319/products/Cabernet2-13_1200x1200.jpg?v=1669138536,$99.99,True
