,vender,url,product,description,image,in_stock,price,live
0,osume,https://osumekeys.com/products/mochi-accent-kit,mochi accent kit,mix and match with other flavours to create the tastiest combinations! base kit purchasable separately here.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/vanillaaccentlabelled.jpg?v=1658194226,True,$10,True
1,osume,https://osumekeys.com/collections/keycaps/products/dalgona,dalgona keycaps,"this item is still in preorder phase. for order updates, please visit here   dalgona themed keycap set   from a calming and refreshing whipped coffee to a fun korean childhood favorite, dalgona is a popular confectionary based from south korea.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/1.jpg?v=1653329195,False,,True
2,osume,https://osumekeys.com/collections/keycaps/products/matcha,matcha keycaps,"slight differences in colour may be noticeable when comparing with r1 base kits. we have attempted to visualize these slight changes in the render.   matcha inspired keycap set   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan. ",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/productshotcopy.jpg?v=1674078755,True,$95,True
3,osume,https://osumekeys.com/collections/keycaps/products/dusk,dusk keycaps,"dusk inspired keycap set   inspired by an ephemeral pink and purple horizon, dusk captures the serene moment just before night falls.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/duskpurple.jpg?v=1640221719,False,,True
4,osume,https://osumekeys.com/collections/keycaps/products/sakura-novelty-kit,sakura novelty kit,"sakura inspired standalone novelty kit home to japan, sakuras are symbols for renewal, optimism and new beginnings.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/sakura_specialedition2.jpg?v=1671750828,True,$20,True
5,osume,https://osumekeys.com/collections/keycaps/products/year-of-the-tiger-novelty-kit,year of the tiger novelty kit,"limited edition   year of the tiger inspired novelty kits   finishing third place in the chinese zodiac race, our fierce little tiger friend proudly represents the year of 2022.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/YOTTnovelties-nolabel.jpg?v=1673031389,True,$20,True
6,osume,https://osumekeys.com/products/winterglow-eve-novelty-kit,winterglow eve novelty kit,winterglow eve inspired novelty kit the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/wgesenovelties.jpg?v=1673245399,False,,True
7,osume,https://osumekeys.com/collections/keycaps/products/sakura,sakura keycaps,"sakura inspired keycap set   a blanket of soft and calming pink invites the spring season. home to japan, sakuras are symbols for renewal, optimism and new beginnings.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/sakura.jpg?v=1636764886,True,$95,True
8,osume,https://osumekeys.com/products/dusk-twilight-kit,dusk novelty kit,"dusk inspired special edition novelty kit   inspired by an ephemeral pink and purple horizon, dusk captures the serene moment just before night falls.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/dusknoveltykit2.jpg?v=1671509736,False,,True
9,osume,https://osumekeys.com/products/winterglow-novelty-kit,winterglow novelty kit,winterglow inspired novelty kit the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/wgsenoveltiesnolabel-01.jpg?v=1673030872,False,,True
10,osume,https://osumekeys.com/products/sakura-novelty-kit,sakura novelty kit,"sakura inspired standalone novelty kit home to japan, sakuras are symbols for renewal, optimism and new beginnings.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/sakura_specialedition2.jpg?v=1671750828,True,$20,True
11,osume,https://osumekeys.com/collections/keycaps/products/mochi-accent-kit,mochi accent kit,mix and match with other flavours to create the tastiest combinations! base kit purchasable separately here.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/vanillaaccentlabelled.jpg?v=1658194226,True,$10,True
12,osume,https://osumekeys.com/collections/keycaps/products/little-ghost-novelty-kit,little ghost novelty kit,little ghost inspired standalone novelty kit   it is said that the little ghost appears in your dreams and diligently works to get rid of all your nightmares.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/littleghostnoveltylabelled_c9030adf-4148-4f45-8375-d33591591b30.jpg?v=1664146947,False,,True
13,osume,https://osumekeys.com/products/little-ghost,little ghost keycaps,little ghost inspired keycap set   it is said that the little ghost appears in your dreams and diligently works to get rid of all your nightmares.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/littleghostps.jpg?v=1657914305,False,,True
14,osume,https://osumekeys.com/collections/keycaps/products/winterglow-eve-novelty-kit,winterglow eve novelty kit,winterglow eve inspired novelty kit the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/wgesenovelties.jpg?v=1673245399,False,,True
15,osume,https://osumekeys.com/collections/keycaps/products/winterglow-novelty-kit,winterglow novelty kit,winterglow inspired novelty kit the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/wgsenoveltiesnolabel-01.jpg?v=1673030872,False,,True
16,osume,https://osumekeys.com/collections/keycaps/products/winterglow-eve,winterglow eve keycaps,"winterglow eve inspired keycap set as twilight emerges, a warm and luminous winter light is casted upon the snow. such a sight marks the first night of the winter season.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/WGEproductshotcopy.jpg?v=1670751635,False,,True
17,osume,https://osumekeys.com/products/tsukimi-r2-novelty-kit,tsukimi novelty kit,"tsukimi inspired standalone novelty kit.  mid-autumn festival, or tsukimi, is a classic tradition focused on family reunions, moon cakes and moon gazing.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/standardnovelties.jpg?v=1674085144,True,$20,True
18,osume,https://osumekeys.com/collections/keycaps/products/dusk-twilight-kit,dusk novelty kit,"dusk inspired special edition novelty kit   inspired by an ephemeral pink and purple horizon, dusk captures the serene moment just before night falls.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/dusknoveltykit2.jpg?v=1671509736,False,,True
19,osume,https://osumekeys.com/products/matcha-novelty-kit,matcha novelty kit,"r1 buyers, please note that due to different production rounds, slight differences in colour may be noticeable when pairing with r1 base kits.   matcha inspired novelty kit   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/matcha_batch2_novs_nl-01.jpg?v=1674026615,True,$20,True
20,osume,https://osumekeys.com/products/mochi,mochi keycaps,a classic dessert filled with sesame. mix and match with other flavours to create the tastiest combination! accents purchasable separately here.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/mochiwhite.jpg?v=1657777374,True,$78,True
21,osume,https://osumekeys.com/collections/keycaps/products/little-ghost,little ghost keycaps,little ghost inspired keycap set   it is said that the little ghost appears in your dreams and diligently works to get rid of all your nightmares.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/littleghostps.jpg?v=1657914305,False,,True
22,osume,https://osumekeys.com/products/winterglow,winterglow keycaps,winterglow inspired keycap set the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/WGproductshotcopy.jpg?v=1670751488,False,,True
23,osume,https://osumekeys.com/products/little-ghost-novelty-kit,little ghost novelty kit,little ghost inspired standalone novelty kit   it is said that the little ghost appears in your dreams and diligently works to get rid of all your nightmares.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/littleghostnoveltylabelled_c9030adf-4148-4f45-8375-d33591591b30.jpg?v=1664146947,False,,True
24,osume,https://osumekeys.com/products/dalgona,dalgona keycaps,"this item is still in preorder phase. for order updates, please visit here   dalgona themed keycap set   from a calming and refreshing whipped coffee to a fun korean childhood favorite, dalgona is a popular confectionary based from south korea.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/1.jpg?v=1653329195,False,,True
25,osume,https://osumekeys.com/products/year-of-the-tiger-novelty-kit,year of the tiger novelty kit,"limited edition   year of the tiger inspired novelty kits   finishing third place in the chinese zodiac race, our fierce little tiger friend proudly represents the year of 2022.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/YOTTnovelties-nolabel.jpg?v=1673031389,True,$20,True
26,osume,https://osumekeys.com/products/matcha-r1,matcha keycaps (old version),"﻿this version of this product is a previous iteration, and is discounted due to a newer version being available.   matcha inspired keycap set   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan. ",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/matcha_0cbf3ca7-9060-4751-8799-78a8d6fd667d.jpg?v=1674018153,True,$75,True
27,osume,https://osumekeys.com/collections/keycaps/products/tsukimi,tsukimi keycaps,"tsukimi inspired keycap set mid-autumn festival, or tsukimi, is a classic tradition focused on family reunions, moon cakes and moon gazing.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/productshot.jpg?v=1664088378,True,$80,True
28,osume,https://osumekeys.com/products/tsukimi,tsukimi keycaps,"tsukimi inspired keycap set mid-autumn festival, or tsukimi, is a classic tradition focused on family reunions, moon cakes and moon gazing.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/productshot.jpg?v=1664088378,True,$80,True
29,osume,https://osumekeys.com/products/winterglow-eve,winterglow eve keycaps,"winterglow eve inspired keycap set as twilight emerges, a warm and luminous winter light is casted upon the snow. such a sight marks the first night of the winter season.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/WGEproductshotcopy.jpg?v=1670751635,False,,True
30,osume,https://osumekeys.com/products/sakura,sakura keycaps,"sakura inspired keycap set   a blanket of soft and calming pink invites the spring season. home to japan, sakuras are symbols for renewal, optimism and new beginnings.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/sakura.jpg?v=1636764886,True,$95,True
31,osume,https://osumekeys.com/collections/keycaps/products/tsukimi-r2-novelty-kit,tsukimi novelty kit,"tsukimi inspired standalone novelty kit.  mid-autumn festival, or tsukimi, is a classic tradition focused on family reunions, moon cakes and moon gazing.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/standardnovelties.jpg?v=1674085144,True,$20,True
32,osume,https://osumekeys.com/products/matcha,matcha keycaps,"slight differences in colour may be noticeable when comparing with r1 base kits. we have attempted to visualize these slight changes in the render.   matcha inspired keycap set   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan. ",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/productshotcopy.jpg?v=1674078755,True,$95,True
33,osume,https://osumekeys.com/collections/keycaps/products/winterglow,winterglow keycaps,winterglow inspired keycap set the early morning sun casts its warm and luminous winter light upon the snow. such a sight marks the first day of the winter season.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/WGproductshotcopy.jpg?v=1670751488,False,,True
34,osume,https://osumekeys.com/collections/keycaps/products/mochi,mochi keycaps,a classic dessert filled with sesame. mix and match with other flavours to create the tastiest combination! accents purchasable separately here.,http://cdn.shopify.com/s/files/1/0588/4228/4186/products/mochiwhite.jpg?v=1657777374,True,$78,True
35,osume,https://osumekeys.com/collections/keycaps/products/matcha-r1,matcha keycaps (old version),"﻿this version of this product is a previous iteration, and is discounted due to a newer version being available.   matcha inspired keycap set   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan. ",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/matcha_0cbf3ca7-9060-4751-8799-78a8d6fd667d.jpg?v=1674018153,True,$75,True
36,osume,https://osumekeys.com/products/dusk,dusk keycaps,"dusk inspired keycap set   inspired by an ephemeral pink and purple horizon, dusk captures the serene moment just before night falls.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/duskpurple.jpg?v=1640221719,False,,True
37,osume,https://osumekeys.com/collections/keycaps/products/matcha-novelty-kit,matcha novelty kit,"r1 buyers, please note that due to different production rounds, slight differences in colour may be noticeable when pairing with r1 base kits.   matcha inspired novelty kit   a sophisticated take on an all time classic tea, matcha, inspired directly from the traditions of uji, japan.",http://cdn.shopify.com/s/files/1/0588/4228/4186/products/matcha_batch2_novs_nl-01.jpg?v=1674026615,True,$20,True
